603#1# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#1##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#09/06/2011
603#2# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#2##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#09/06/2011
603#3# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#3##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#09/06/2011
603#4##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/03/2010
603#5##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/03/2010
603#6##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/03/2010
603#7##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/03/2010
603#8##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/03/2010
603#9# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#9##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#13/07/2010
604#0##Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL#26/11/2014
604#1# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#1##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#04/10/2013
604#2# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#2##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#04/10/2013
604#3# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
604#3##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#04/10/2013
604#4##Asignado#AVATEL MÓVIL, S.L. UNIPERSONAL#28/07/2020
604#5# #Subasignado 0#ALAI OPERADOR DE TELECOMUNICACIONES, S.L.#29/10/2019
604#5# #Subasignado 3#DRAGONET COMUNICACIONES, S.L.#17/09/2019
604#5# #Subasignado 4#SUOP MOBILE, S.L.#02/08/2019
604#5##Asignado#SUMA OPERADOR DE TELECOMUNICACIONES, S.L. UNIPERSONAL#25/04/2018
605#0##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#1##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#2# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#05/03/2018
605#2##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#3##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#4##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#5##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#6##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#7##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#8##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
605#9##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
606###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#30/07/1998
607###Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#12/03/1998
608###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/05/1998
609###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#26/02/1998
610###Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#14/05/1998
611#0# #Subasignado 0#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 1#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 2#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 3#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 4#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 5#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 6#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 7#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 8#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0# #Subasignado 9#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#01/03/2016
611#0##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#01/03/2016
611#1##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#02/09/2011
611#2# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#2##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#21/08/2012
611#3# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
611#3##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#21/08/2012
611#4##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#28/01/2013
611#6##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#02/06/2011
612#0##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#03/08/2016
612#1##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#03/08/2016
612#2##Asignado#LYCAMOBILE, S.L. UNIPERSONAL#22/03/2016
612#4##Asignado#LYCAMOBILE, S.L. UNIPERSONAL#22/03/2016
612#5##Asignado#LYCAMOBILE, S.L. UNIPERSONAL#22/03/2016
613#0# #Subasignado 0#PEPEMOBILE, S.L.#13/01/2021
613#0# #Subasignado 1#PEPEMOBILE, S.L.#13/01/2021
613#0# #Subasignado 2#PEPEMOBILE, S.L.#13/01/2021
613#0##Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#16/07/2020
613#1##Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#16/07/2020
613#2##Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#16/07/2020
613#3##Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#16/07/2020
614#0##Asignado#SYMA MOBILE ESPAÑA, S.L.#08/05/2020
615###Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/10/2006
616###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#30/07/1998
617###Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#14/05/1998
618###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#07/03/2002
619###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/05/1998
620###Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#04/05/2000
621#0# #Subasignado 0#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0# #Subasignado 1#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0# #Subasignado 2#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0# #Subasignado 3#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0# #Subasignado 4#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0# #Subasignado 5#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0# #Subasignado 6#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/09/2018
621#0##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#07/09/2018
621#1# #Subasignado 1#OPERADORS QUILOMETRE ZERO, S.L.#22/01/2019
621#1# #Subasignado 3#AUREA MOTRIZ, S.L. UNIPERSONAL#27/06/2019
621#1##Asignado#AIRE NETWORKS DEL MEDITERRÁNEO, S.L. UNIPERSONAL#14/02/2018
621#2##Asignado#AIRE NETWORKS DEL MEDITERRÁNEO, S.L. UNIPERSONAL#02/02/2017
621#3# #Subasignado 0#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 1#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 2#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 3#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 4#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 5#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 6#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 7#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 8#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3# #Subasignado 9#REPÚBLICA DE COMUNICACIONES MÓVILES, S.L.#07/08/2019
621#3##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#07/08/2019
622###Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#14/12/2000
623#0# #Subasignado 0#PEPEMOBILE, S.L.#09/07/2020
623#0# #Subasignado 2#PEPEMOBILE, S.L.#11/10/2019
623#0# #Subasignado 3#PEPEMOBILE, S.L.#11/10/2019
623#0# #Subasignado 4#PEPEMOBILE, S.L.#18/04/2019
623#0# #Subasignado 6#PEPEMOBILE, S.L.#09/07/2020
623#0# #Subasignado 7#ADAMO TELECOM IBERIA, S.A.#18/12/2018
623#0# #Subasignado 8#BILLING FINANCIAL ESPAÑA, S.L. UNIPERSONAL#19/12/2019
623#0# #Subasignado 9#ACN MARKETING Y SERVICIOS DE TELECOMUNICACIONES ESPAÑA, S.L. UNIPERSONAL#20/06/2018
623#0##Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#01/08/2017
623#1# #Subasignado 0#PEPEMOBILE, S.L.#18/04/2019
623#1# #Subasignado 7#PEPEMOBILE, S.L.#03/05/2018
623#1# #Subasignado 8#PEPEMOBILE, S.L.#03/05/2018
623#1# #Subasignado 9#PEPEMOBILE, S.L.#03/05/2018
623#1##Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#01/08/2017
